Scientific.name,Abbreviation,Common.name,Taxon.ID
Arabidopsis thaliana,Ath,Thale cress,3702
Bacillus subtilis subsp. subtilis str. 168,Bsu.168,NA,224308
Bos taurus,Bta,Cattle,9913
Caenorhabditis elegans,Cel,Nematode,6239
Drosophila melanogaster,Dme,Fruit fly,7227
Danio rerio,Dre,Zebrafish,7955
Escherichia coli str. K-12 substr. MG1655,Eco.K12.MG1655,NA,511145
Gallus gallus,Gga,Chicken,9031
Mus musculus,Mmu,Mouse,10090
Rattus norvegicus,Rno,Rat,10116
Saccharomyces cerevisiae S288C,Sce.S288C,NA,559292
Schizosaccharomyces pombe 972h-,Spo.972h,NA,284812
Sus scrofa,Ssc,Pig,9823
Xenopus laevis,Xla,Western clawed frog,8355
